path,category,first_party,generated_or_vendor,assigned_agent,semantically_reviewed,purpose,exports_or_entrypoints,callers,dependencies,side_effects,public_boundary,related_tests,risk_level,notes
.env.example,configuration,true,false,test-engineering,n/a,Example environment configuration keys,environment keys,developers,server env utility,none,yes,none,medium,Tracked intentionally as sample config
.gitignore,configuration,true,false,test-engineering,n/a,Git exclusion rules,none,Git,none,keeps runtime files out of Git,yes,none,medium,Protects secrets and runtime artifacts
AGENTS.md,documentation,true,false,test-engineering,n/a,Project guardrails and commands,refactor instructions,Codex agents,package scripts,none,yes,none,medium,Must be followed for later phases
docs/refactor/BEHAVIOR_BASELINE.md,documentation,true,false,test-engineering,n/a,Behavior baseline log,verification record,Codex agents,AGENTS.md,none,no,none,low,Pending Phase 4 command results
docs/refactor/CODEBASE_MAP.md,documentation,true,false,cross-module,n/a,Repository map and audit summary,codebase map,Codex agents,git ls-files and explorer audits,none,no,none,low,Phase 3 audit output
docs/refactor/EXCLUDED_FILES.md,documentation,true,false,test-engineering,n/a,Excluded files register,excluded-file policy,Codex agents,.gitignore,none,yes,none,medium,Documents sensitive and runtime exclusions
docs/refactor/FILE_COVERAGE.csv,documentation,true,false,cross-module,n/a,Per-file audit coverage,coverage table,Codex agents,git ls-files,none,no,none,low,All tracked files listed
docs/refactor/FINAL_REPORT.md,documentation,true,false,test-engineering,n/a,Final report placeholder,final report,Codex agents,all refactor docs,none,no,none,low,Pending Phase 7
docs/refactor/REFACTOR_PLAN.md,documentation,true,false,cross-module,n/a,Refactor task plan,planned R tasks,Codex agents,CODEBASE_MAP and RISK_REGISTER,none,yes,none,medium,Pending Phase 5
docs/refactor/RISK_REGISTER.md,documentation,true,false,cross-module,n/a,Risk register,risk list,Codex agents,explorer audits,none,no,none,low,Phase 3 risk output
docs/refactor/STATE.md,documentation,true,false,test-engineering,n/a,Refactor workflow state,status table,Codex agents,git and docs,none,no,none,low,Tracks current phase
index.html,first-party production source,true,false,frontend,yes,Vite HTML entrypoint,#root and module script,Vite dev server and build,src/client/main.tsx,defines root DOM node,yes,none,medium,DOM root and title are UI boundary
package-lock.json,configuration,true,generated-lock,test-engineering,n/a,Locked npm dependency graph,lockfile,npm,package.json,dependency resolution,yes,none,medium,Do not upgrade dependencies during refactor
package.json,build or deployment file,true,false,test-engineering,yes,NPM package metadata and scripts,npm scripts,developers and CI if added,npm,defines commands and dependency versions,yes,none,high,Scripts are startup and verification boundary
scripts/wait-for-health.mjs,build or deployment file,true,false,test-engineering,yes,Wait for backend health before starting client,CLI script,npm run dev,fetch and process argv,logs and exit code,yes,none,medium,Hardcodes dev health URL default
src/client/App.tsx,first-party production source,true,false,frontend,yes,Main React app state and UI panels,App and many internal components,src/client/main.tsx,React lucide shared types API client,localStorage timers window events UI actions,yes,none,high,UI DOM CSS copy and interaction frozen without visual baseline
src/client/lib/api.ts,first-party production source,true,false,frontend,yes,Client API wrapper and error parsing,api and apiGet/apiPost/apiPut/apiDelete,src/client/App.tsx,shared types fetch,network calls to /api,yes,none,high,Client/server route contract boundary
src/client/main.tsx,first-party production source,true,false,frontend,yes,React root mount,none,index.html,React ReactDOM App styles,DOM render,yes,none,medium,StrictMode mount entrypoint
src/client/styles.css,frontend styles and assets,true,false,frontend,yes,Global stylesheet and responsive layout,class selectors and CSS variables,src/client/main.tsx,DOM class names,visual layout,yes,none,high,No visual baseline so CSS is frozen
src/server/index.ts,first-party production source,true,false,backend,yes,Express server entrypoint,none,npm dev/start,Express CORS API router env jobs,listen static serving startup job behavior,yes,none,high,Startup and error middleware boundary
src/server/routes/api.ts,first-party production source,true,false,backend,yes,Express API router and validation,api router 50 routes,src/server/index.ts,services store zod shared types,starts reply worker handles HTTP,yes,none,high,Public API status codes and response shapes frozen
src/server/services/aiPrompts.ts,first-party production source,true,false,backend,yes,AI prompt templates and prompt builders,prompt version constants and builders,aiService tests,shared types,none,yes,test/aiPrompts.test.ts,medium,Large prompt surface with Chinese output contract
src/server/services/aiService.ts,first-party production source,true,false,backend,yes,AI models workflows artifacts reports assistant service,many AI service functions,routes/api.ts,store env aiPrompts queryService fetch,writes AI collections and env keys outbound AI calls,yes,none,high,External model and persistence boundary
src/server/services/analysis.ts,first-party production source,true,false,backend,yes,Analytics and viral note classification,analyzeNote buildAnalytics buildKeywordMetrics,jobService queryService tests,shared types utils,none,yes,test/analysis.test.ts,medium,Business scoring rules are frozen
src/server/services/authState.ts,first-party production source,true,false,backend,yes,Auth disconnect state helpers,markAuthDisconnected isAuthRisk,jobService commentOps routes,store utils,writes authStatus,yes,none,medium,Auth state side effects
src/server/services/capabilities.ts,first-party production source,true,false,backend,yes,Redbook capability metadata,redbookCapabilities,routes and tests,shared types,none,yes,test/phase2.test.ts,medium,UI and API capability copy/status boundary
src/server/services/commentOps.ts,first-party production source,true,false,backend,yes,Reply plan queue and worker,reply plan/action functions,routes/api.ts,store authState redbook utils,timer outbound reply writes,yes,none,high,Timed write-like automation guarded by current behavior
src/server/services/healthService.ts,first-party production source,true,false,backend,yes,Local note health diagnostics,buildHealthCheck diagnoseNote,routes and tests,store redbook utils,writes healthReports optional external creator fetch,yes,test/phase2.test.ts,medium,Health labels and sensitive words are behavior boundary
src/server/services/jobService.ts,first-party production source,true,false,backend,yes,Search job queue workers and progress,JobService jobs,routes queryService index,env store redbook normalizers analysis authState,timers JSON writes external XHS calls,yes,none,high,Highest concurrency and business flow risk
src/server/services/mediaService.ts,first-party production source,true,false,backend,yes,Media proxy cache refresh and streaming,proxyMedia,routes/api.ts,express fs crypto store env redbook normalizers,network fetch cache writes response streaming,yes,none,high,Media cache and HTTP response behavior boundary
src/server/services/normalizers.ts,first-party production source,true,false,backend,yes,Normalize Redbook raw payloads into local records,normalizer functions,jobService mediaService,shared types utils url,none,yes,none,medium,Raw payload parsing business boundary
src/server/services/queryService.ts,first-party production source,true,false,backend,yes,Note listing detail delete clear analytics export,query and export functions,routes/api.ts aiService,store jobs analysis utils,writes collections during delete clear,yes,none,high,Delete/export response semantics frozen
src/server/services/redbookService.ts,first-party production source,true,false,backend,yes,XHS client wrapper and cookie integration,RedbookService redbook summarizeUser,jobService mediaService health routes,@lucasygu/redbook env url fetch,external XHS and cookie reads,yes,none,high,External service boundary
src/server/services/url.ts,first-party production source,true,false,backend,yes,Note URL parsing and web URL construction,parseNoteUrl buildWebUrl enrichWithWebUrl,redbookService normalizers,none,none,yes,none,medium,Public URL semantics not currently tested
src/server/storage/localStore.ts,database or migration,true,false,data,yes,Local JSON collection store,LocalStore store,most server services,fs path shared types,writes data/*.json with locks,yes,none,high,Persistence schema and locking boundary
src/server/utils/env.ts,configuration,true,false,backend,yes,Environment and .env.local helpers,env getters saveCookieString saveEnvValue,server services and routes,dotenv fs path,writes .env.local and process.env,yes,none,high,Do not print or alter secret/config semantics
src/shared/types.ts,first-party production source,true,false,cross-module,yes,Shared API and persistence TypeScript contracts,all exported types,client server tests,none,none,yes,none,high,Central public contract boundary
src/shared/utils.ts,first-party production source,true,false,cross-module,yes,Shared pure utility helpers,utility functions,client server tests,shared types,none,yes,test/utils.test.ts,low,Good low-risk pure helper coverage
test/aiPrompts.test.ts,test,true,false,test-engineering,yes,Prompt characterization tests,Vitest suite,npm test,aiPrompts shared types,none,no,src/server/services/aiPrompts.ts,low,Current behavior tests
test/analysis.test.ts,test,true,false,test-engineering,yes,Analysis characterization tests,Vitest suite,npm test,analysis shared types,none,no,src/server/services/analysis.ts,low,Current behavior tests
test/localStore.test.ts,test,true,false,test-engineering,yes,LocalStore characterization tests,Vitest suite,npm test,localStore fs temp dirs,creates isolated temp JSON files,no,src/server/storage/localStore.ts,low,Added in Phase 4 to capture current persistence behavior
test/phase2.test.ts,test,true,false,test-engineering,yes,Capabilities and health tests,Vitest suite,npm test,capabilities healthService,none,no,capabilities healthService,low,Current behavior tests
test/url.test.ts,test,true,false,test-engineering,yes,URL helper characterization tests,Vitest suite,npm test,url helpers,none,no,src/server/services/url.ts,low,Added in Phase 4 to capture current URL behavior
test/utils.test.ts,test,true,false,test-engineering,yes,Shared utils tests,Vitest suite,npm test,shared utils,none,no,src/shared/utils.ts,low,Current behavior tests
tsconfig.json,configuration,true,false,test-engineering,yes,Client shared test TypeScript config,compiler options,npm typecheck,TypeScript,none,yes,none,medium,Typecheck boundary
tsconfig.server.json,configuration,true,false,test-engineering,yes,Server TypeScript build config,compiler options,npm build/typecheck,TypeScript,emits dist/server during build,yes,none,medium,Server build boundary
vite.config.ts,build or deployment file,true,false,frontend,yes,Vite dev and client build config,default config export,Vite,React plugin,dev proxy and client output,yes,none,medium,Proxy port and output path boundary
